Time,T22,T12,T21,T11,TTANQFRIO,Time_Minutes
2023-12-17 03:14:56,20.580618860074928,27.12511739148478,20.859662224264707,27.259363515206,17.07136232828525,0.4
2023-12-17 03:14:57,20.618629411219775,27.16312794262962,20.85559415990952,27.305510195061224,17.09060059918236,0.4166666666666667
2023-12-17 03:14:58,20.524046914961637,27.068545446371484,20.79253916240409,27.337037693813937,16.932963105418796,0.43333333333333335
2023-12-17 03:14:59,20.54346105597558,27.12678786941331,20.850781585445915,27.259381129758168,17.068862092516394,0.45
2023-12-17 03:15:00,20.557608445891944,27.169230039162404,20.893223755195013,27.20279157009271,17.167893821930946,0.4666666666666667
2023-12-17 03:15:01,20.557608445891944,27.095056982278475,20.819050698311088,27.22133483431369,17.112264029268005,0.4833333333333334
2023-12-17 03:15:02,20.557608445891944,27.036113830495243,20.76236737663599,27.23409327091488,17.068339144194095,0.5000000000000001
2023-12-17 03:15:03,20.557608445891944,27.068545446371484,20.859662224264707,27.169230039162404,17.100770760070333,0.5166666666666667
2023-12-17 03:15:04,20.608583410285192,27.085537101169233,20.825678914669204,27.237196658353405,17.117762414868082,0.5333333333333333
2023-12-17 03:15:05,20.657392057986748,27.10210697730179,20.793440143100206,27.30212469183946,17.133431310304523,0.55
2023-12-17 03:15:06,20.59116997682225,27.10210697730179,20.859662224264707,27.20279157009271,17.067209229140026,0.5666666666666667
2023-12-17 03:15:07,20.625176031341038,27.170119086339366,20.876665251524102,27.25380065187089,17.203233447215176,0.5833333333333334
2023-12-17 03:15:08,20.658293038682864,27.236353101023013,20.893223755195013,27.303476162883634,17.33570147658248,0.6
2023-12-17 03:15:09,20.658293038682864,27.0054497682225,20.6623204223945,27.270489972483553,17.33570147658248,0.6166666666666667
2023-12-17 03:15:10,20.64289456833574,26.970625443816626,20.612097627641504,27.177523809870603,17.274107595193996,0.6333333333333333
2023-12-17 03:15:11,20.624731507752557,26.934299322650254,20.557608445891944,27.068545446371484,17.201455352861252,0.65
2023-12-17 03:15:12,20.241844067164195,26.67904102892468,21.131939606774488,27.036638159655784,17.297177213008343,0.6666666666666666
2023-12-17 03:15:13,20.221993136588875,26.6658070752078,21.161716002637466,27.034983915441174,17.302139945652172,0.6833333333333333
2023-12-17 03:15:14,19.77665954346144,26.37952119391159,20.87543012134126,26.907745745976193,17.365759030384663,0.7
2023-12-17 03:15:15,19.66585428112367,26.148059740732776,20.84528265385789,27.18832919985629,17.34050386669915,0.7166666666666667
2023-12-17 03:15:16,19.550762517982736,25.860330332880434,20.8261006933344,27.571968410326082,17.302139945652172,0.7333333333333333
2023-12-17 03:15:17,19.729256431238944,25.681836419624222,20.915347649962502,28.018203193466608,17.212892989024066,0.75
2023-12-17 03:15:18,19.850095091144933,25.54875233627069,20.841067321992508,28.148863914965954,17.140228235623532,0.7666666666666667
2023-12-17 03:15:19,20.020623951007032,25.35690736892583,20.69185456961317,28.276760559862534,17.03364769820972,0.7833333333333333
2023-12-17 03:15:20,20.515440680059175,25.19196845924178,20.719344387893845,28.49667910610793,16.951178243367696,0.8
2023-12-17 03:15:21,20.817331123214565,25.11273826879688,20.607716335538914,28.716452465493436,16.943663084055572,0.8166666666666667
2023-12-17 03:15:22,21.228839064498082,25.021292059622763,20.3562392603101,29.082237302189895,16.966524636349103,0.8333333333333334
2023-12-17 03:15:23,21.683023729785194,24.967858569588984,20.329522515293213,29.696722437578345,16.99324138136599,0.85
2023-12-17 03:15:24,21.96233076821582,24.87748867874919,20.2747525299967,30.0266832313661,17.00008616727941,0.8666666666666667
2023-12-17 03:15:25,22.369931116128516,24.685676750319693,20.15487007472826,30.45826007033248,17.00008616727941,0.8833333333333333
2023-12-17 03:15:26,22.959165124415964,24.4446264742021,19.994169890649864,30.726093710463136,16.892952711227146,0.9
2023-12-17 03:15:27,23.265654130198275,24.42296530534768,19.864980638994727,31.01025821333968,16.924853543659314,0.9166666666666666
2023-12-17 03:15:28,23.64526929148018,24.517869095668157,19.651447110773656,31.5322290601023,17.067209229140026,0.9333333333333333
2023-12-17 03:15:29,23.79969050284432,24.450309815696343,19.63214445935314,31.696301597176703,16.86453138922459,0.95
2023-12-17 03:15:30,24.182253786365088,24.282938379156008,19.584324048913043,32.10277508591752,16.36241707960358,0.9666666666666668
2023-12-17 03:15:31,24.54940488982127,24.282938379156008,19.295848181911758,32.574826504646886,17.64744594170021,0.9833333333333335
2023-12-17 03:15:32,24.777771353241658,24.256012064759094,19.089491074827396,32.78766158585378,17.935128590130176,1.0000000000000002
2023-12-17 03:15:33,25.121976652413682,24.182253786365088,18.745285775655372,33.008936421035806,17.738439847746164,1.0166666666666668
2023-12-17 03:15:34,25.420964315615034,24.456325810966327,18.894779607256044,33.53216483163817,17.015886328342898,1.0333333333333334
2023-12-17 03:15:35,25.578020260409744,24.597120829597646,18.85527455523885,33.8279540780702,16.833690755266034,1.05
2023-12-17 03:15:36,25.759645740089514,24.752799812180307,18.54391659007353,34.217151534526856,17.067209229140026,1.0666666666666667
2023-12-17 03:15:37,25.906473973672306,24.385729228223315,18.299202867435536,34.31503702358205,17.165094718195224,1.0833333333333333
2023-12-17 03:15:38,26.00075444985749,24.32223264256695,18.188431518677394,34.463992976775465,17.19483209883023,1.1
2023-12-17 03:15:39,26.162384111253196,24.618553688459077,18.10761668797954,34.9219436840633,17.167893821930946,1.1166666666666667
2023-12-17 03:15:40,26.218440487686916,24.65358892373015,18.086595546816895,34.98500710755123,17.12585153960566,1.1333333333333333
2023-12-17 03:15:41,26.430876358695652,24.786361343110613,18.006932095188617,35.22399746243606,16.966524636349103,1.15
2023-12-17 03:15:42,26.47808863556721,24.83357361998217,17.77087071083083,35.271209739307615,17.01373691322066,1.1666666666666667
2023-12-17 03:15:43,26.53181456507043,24.836576832714144,17.643137498790413,35.36438667074403,16.99419669627653,1.1833333333333333
2023-12-17 03:15:44,26.699368606138105,24.752799812180307,17.503509131234015,35.727420426390665,16.79871698169757,1.2
2023-12-17 03:15:45,26.74530939028041,24.821710988393765,17.480538739162863,35.93415395503104,16.936539334124483,1.2166666666666666
2023-12-17 03:15:46,26.796733617495853,24.871629574669505,17.439705650806577,36.07181293405941,16.975892607681704,1.2333333333333334
2023-12-17 03:15:47,26.934299322650254,24.954168997762146,17.302139945652172,36.26440492127558,16.865840043558183,1.25
2023-12-17 03:15:48,27.020884755000935,24.88922992349914,17.19390815521383,36.437575785976925,16.865840043558183,1.2666666666666666
2023-12-17 03:15:49,27.068545446371484,24.868798889958843,17.10370332102541,36.5992599369977,16.840315901912156,1.2833333333333334
2023-12-17 03:15:50,27.068545446371484,24.954168997762146,16.932963105418796,36.96919707081202,16.69803238890665,1.3
2023-12-17 03:15:51,27.082087818501257,24.99028199010821,16.923934857332284,36.96016882272551,16.72060300912294,1.3166666666666667
2023-12-17 03:15:52,27.169230039162404,25.222661245204602,16.865840043558183,36.9020740089514,16.865840043558183,1.3333333333333333
2023-12-17 03:15:53,27.294354310887186,25.097536973479816,16.76156981712086,37.00634423538873,16.865840043558183,1.35
2023-12-17 03:15:54,27.339185191281178,25.03475521682122,16.675593793575885,37.14617288772754,16.87481548169049,1.3666666666666667
2023-12-17 03:15:55,27.1356685082321,25.121976652413682,16.530224734255114,37.64042768941816,16.932963105418796,1.3833333333333333
2023-12-17 03:15:56,27.345530815926917,25.205921575491608,16.530224734255114,37.3676066894149,16.80704572080191,1.4
2023-12-17 03:15:57,27.504681633680445,25.27292168420755,16.509351099164313,37.28344760066921,16.727419192818797,1.4166666666666667
2023-12-17 03:15:58,27.73977606497762,25.39046889985614,16.36241707960358,37.841796875,16.69803238890665,1.4333333333333333
2023-12-17 03:15:59,27.581813493762503,25.331232935650466,16.3229264367998,37.78256091079433,16.678287067504762,1.45
2023-12-17 03:16:00,27.471283817535166,25.294996624207112,16.292687859172016,37.73850612363813,16.672289333689186,1.4666666666666666
2023-12-17 03:16:01,27.471283817535166,25.35690736892583,16.261732486812658,37.707550751278774,16.765155450767264,1.4833333333333334
2023-12-17 03:16:02,27.400173787801627,25.35690736892583,16.332842516546197,37.88532582561262,16.854042987934186,1.5
2023-12-17 03:16:03,27.34922174794705,25.35690736892583,16.3849021976856,38.0453813431515,16.924101975140168,1.5166666666666666
2023-12-17 03:16:04,27.706214534047312,25.35690736892583,16.06036330123082,38.11028912244245,16.664470857976344,1.5333333333333334
